PlayerName,PlayerCode,TotalRaidAttacks,TitanNumber,TitanName,TitanDamage,ArmorHead,ArmorTorso,ArmorLeftArm,ArmorRightArm,ArmorLeftHand,ArmorRightHand,ArmorLeftLeg,ArmorRightLeg,BodyHead,BodyTorso,BodyLeftArm,BodyRightArm,BodyLeftHand,BodyRightHand,BodyLeftLeg,BodyRightLeg,SkeletonHead,SkeletonTorso,SkeletonLeftArm,SkeletonRightArm,SkeletonLeftHand,SkeletonRightHand,SkeletonLeftLeg,SkeletonRightLeg
Scarlet Bayonet™,ndxx678,22,0,Lojak the Fissure,6976843,1095650,2517961,814992,0,308488,2419,0,1137595,1097664,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarlet Bayonet™,ndxx678,22,1,Mohaca the Gale,4522490,0,0,0,0,1171318,0,0,1121750,1073501,0,0,1155731,0,0,189,0,0,0,0,0,0,0,0,0
Scarlet Bayonet™,ndxx678,22,2,Terro the Seeker,4653893,0,0,0,0,0,0,0,0,1094497,2432116,0,0,0,0,1127279,0,0,0,0,0,0,0,0,0
Scarlet Bayonet™,ndxx678,22,3,Mohaca the Gale,5578607,1091744,189,0,1111037,0,0,0,1123268,0,0,0,0,1117135,0,1134948,0,0,0,283,0,0,0,0,0
Scarlet Bayonet™,ndxx678,22,4,Terro the Seeker,3574044,1099068,2474976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kkaafrank,bxbygq,24,0,Lojak the Fissure,4162881,0,2300170,0,0,0,10448,0,958004,894258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kkaafrank,bxbygq,24,1,Mohaca the Gale,7068503,911661,0,0,0,0,0,2257563,0,0,0,773835,0,0,0,3125444,0,0,0,0,0,0,0,0,0
kkaafrank,bxbygq,24,2,Terro the Seeker,977373,977373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kkaafrank,bxbygq,24,3,Mohaca the Gale,8186118,912422,0,0,0,0,832566,3196774,0,912690,0,0,0,0,0,2331665,0,0,0,0,0,0,0,0,0
kkaafrank,bxbygq,24,4,Terro the Seeker,4089616,0,0,0,0,0,0,0,0,896542,2290716,0,0,0,0,902356,0,0,0,0,0,0,0,0,0
Spreng,7p7qe7x,24,0,Lojak the Fissure,4225769,1038881,2195251,0,0,0,0,0,0,0,991636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spreng,7p7qe7x,24,1,Mohaca the Gale,6278996,0,0,0,0,0,0,2218588,962786,1037035,0,0,0,0,0,859932,1200653,0,0,0,0,0,0,0,0
Spreng,7p7qe7x,24,2,Terro the Seeker,5077592,1040005,0,0,0,0,0,874837,0,1035708,2127041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spreng,7p7qe7x,24,3,Mohaca the Gale,6299006,0,0,0,0,0,517219,0,1607016,1039273,0,0,374,0,1121208,0,2013859,0,0,0,56,0,0,0,0
Spreng,7p7qe7x,24,4,Terro the Seeker,2441555,0,0,0,0,0,0,0,0,0,2441536,0,0,0,0,0,0,18,0,0,0,0,0,0,0
jaypee,qqb7k5,22,0,Lojak the Fissure,6397076,962498,2301483,0,0,0,0,931211,0,0,0,0,0,911648,1290234,0,0,0,0,0,0,0,0,0,0
jaypee,qqb7k5,22,1,Mohaca the Gale,4215122,0,505,0,879779,0,264691,0,0,917205,0,0,0,0,0,0,2152877,0,0,0,0,0,62,0,0
jaypee,qqb7k5,22,2,Terro the Seeker,2284882,0,0,0,0,0,0,0,0,0,2284882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
