Name:                    Number of Attacks:  Damage per Attack:  Percent Relevance   
Scarlet Bayonet™        22                  1150267            96.78               
kkaafrank                 24                  1020187            100                 
Spreng                    24                  1013454            96.4                
jaypee                    22                  1036476            100                 
mastablasta               24                  916025             95.81               
Shift                     24                  834376             92.21               
Duck                      24                  810483             94.53               
Dave                      24                  769863             95.82               
[SB] iTime                23                  794493             100                 
Noあべ.私たちは最後まで行く。 20                  895206             77.19               
JoeDawg                   23                  776154             100                 
Stramer                   20                  890023             100                 
Koniku                    24                  719811             99.96               
Melen                     24                  687231             93.12               
neosreaper                24                  669755             93.97               
Questioner                20                  800785             99.99               
BanquoC                   24                  652803             93.74               
Codrak                    24                  585972             100                 
Seota                     23                  598696             99.99               
Kermit                    20                  665879             99.36               
Gen                       20                  632990             93.32               
HjeDestroyer              16                  788867             99.37               
lumenrubeum               24                  519013             99.66               
Bab                       24                  518050             93.65               
Furno                     24                  497874             91.13               
Chris                     16                  694783             99.88               
yang2020                  18                  609445             94.51               
RIIKUDOUII                16                  650676             86.36               
Lie                       24                  432540             90.81               
Klid                      24                  404801             97.78               
Kilt                      16                  598425             95.95               
Busbo                     19                  500524             95.27               
Ray                       16                  573608             87.84               
Blazecc                   17                  447275             94.36               
Gremory                   19                  396110             97.34               
KOHHOP                   -8                   930070             92.94               
pimpernell                20                  336664             93.8                
Roni                      16                  408224             89.34               
Csillam                   20                  286215             99.93               
Cloud Strife              24                 *224614             97.25               
☠️Tomie☠️         16                  306270             96.62               
Charun                   -7                   658759             99.46               
MissBlergh                16                  266623             95.82               
Bitman                   *12                 *220452             99.38               
YSM                      -4                   484114             80.6                
ShadieMcgee              -4                   400433             99.99               
Ninja Lutador            -1                   827277             99.91               
Grimmjow                 -0                  *0                  0                   
